Node,Domain,Type,Category,CPU,RAM,Disk,GPU,FPGA,USRP,WiFi,Devices
"node1-1","accord","Server","Compute Only (Server)","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","251.8 GB","279GB HDD, 1117GB HDD, 1117GB HDD, 1117GB HDD, 1117GB HDD, 0GB HDD","none","none","-","-","-"
"node1-2","accord","Server","Compute Only (Server)","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","251.8 GB","279GB HDD, 1117GB HDD, 1117GB HDD, 1117GB HDD, 1117GB HDD, 0GB HDD","none","none","-","-","-"
"node1-3","accord","Server","Compute Only (Server)","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","251.8 GB","279GB HDD, 1117GB HDD, 1117GB HDD, 1117GB HDD, 1117GB HDD, 0GB HDD","none","none","-","-","-"
"node1-4","accord","Server","Compute Only (Server)","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","251.8 GB","279GB HDD, 1117GB HDD, 1117GB HDD, 1117GB HDD, 1117GB HDD, 0GB HDD","none","none","-","-","-"
"node1-5","accord","Server","Compute Only (Server)","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","251.8 GB","279GB HDD, 1117GB HDD, 1117GB HDD, 1117GB HDD, 1117GB HDD, 0GB HDD","none","none","-","-","-"
"sdr1-md1","bed","RF Device","RF Device","-","-","-","-","-","n3xx","-","-"
"sdr1-md2","bed","RF Device","RF Device","-","-","-","-","-","n3xx","-","-"
"sdr1-s1-lg1","bed","RF Device","RF Device","-","-","-","-","-","n3xx","-","-"
"sdr1-s2-lg1","bed","RF Device","RF Device","-","-","-","-","-","n3xx","-","-"
"sdr1-s3-lg1","bed","RF Device","RF Device","-","-","-","-","-","n3xx","-","-"
"sdr2-md1","bed","Node","SDR Node (Gen6)","Intel(R) Core(TM) i7-6822EQ CPU @ 2.00GHz","7.7 GB","232GB NVMe","none","none","X310 (PCIe)","-","-"
"sdr2-md2","bed","Node","SDR Node (Gen6)","Intel(R) Core(TM) i7-6822EQ CPU @ 2.00GHz","7.7 GB","232GB NVMe","none","none","X310 (PCIe)","-","-"
"sdr2-s1-lg1","bed","Node","SDR Node (Gen6)","Intel(R) Core(TM) i7-6822EQ CPU @ 2.00GHz","7.7 GB","232GB NVMe","none","none","X310 (PCIe)","-","-"
"sdr2-s2-lg1","bed","Node","SDR Node (Gen6)","Intel(R) Core(TM) i7-6822EQ CPU @ 2.00GHz","7.7 GB","232GB NVMe","none","none","X310 (PCIe)","-","-"
"sdr2-s3-lg1","bed","Node","SDR Node (Gen6)","Intel(R) Core(TM) i7-6822EQ CPU @ 2.00GHz","7.7 GB","232GB NVMe","none","none","X310 (PCIe)","-","-"
"srv1-co1","bed","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz","187.5 GB","185GB HDD","NVIDIA Corporation GV100GL [Tesla V100 PCIe 16GB] (rev a1)","Xilinx Corporation Alveo U200 Golden Image","-","-","-"
"srv1-lg1","bed","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz","187.5 GB","186GB SSD","NVIDIA Corporation GV100GL [Tesla V100 PCIe 16GB] (rev a1)","Xilinx Corporation Alveo U200 XDMA Platform","-","-","-"
"srv1-lg2","bed","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz","188.1 GB","446GB SSD","NVIDIA Corporation GA100 [A100 PCIe 80GB] (rev a1)","Xilinx Corporation Alveo U200 Golden Image","-","-","-"
"srv2-co1","bed","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz","180.4 GB","185GB HDD","NVIDIA Corporation GV100GL [Tesla V100 PCIe 16GB] (rev a1)","Xilinx Corporation Alveo U200 Golden Image","-","-","-"
"srv2-lg1","bed","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz","187.5 GB","185GB HDD","NVIDIA Corporation GV100GL [Tesla V100 PCIe 16GB] (rev a1)","Xilinx Corporation Alveo U200 XDMA Platform","-","-","-"
"srv2-lg2","bed","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz","188.1 GB","446GB SSD","NVIDIA Corporation GA100 [A100 PCIe 80GB] (rev a1)","Xilinx Corporation Alveo U200 Golden Image","-","-","-"
"srv3-lg1","bed","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz","187.5 GB","185GB HDD","NVIDIA Corporation GV100GL [Tesla V100 PCIe 16GB] (rev a1)","Xilinx Corporation Alveo U200 XDMA Platform","-","-","-"
"srv3-lg2","bed","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz","188.1 GB","446GB SSD","NVIDIA Corporation GA100 [A100 PCIe 80GB] (rev a1)","Xilinx Corporation Alveo U200 XDMA Platform","-","-","-"
"srv4-lg1","bed","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz","187.5 GB","185GB HDD","NVIDIA Corporation GV100GL [Tesla V100 PCIe 16GB] (rev a1)","Xilinx Corporation Alveo U200 XDMA Platform","-","-","-"
"srv4-lg2","bed","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz","188.1 GB","446GB SSD","NVIDIA Corporation GA100 [A100 PCIe 80GB] (rev a1)","Xilinx Corporation Alveo U200 Golden Image","-","-","-"
"node1-1","grid","Node","SDR Node (Gen3)","Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz","15.5 GB","55GB SSD","none","none","usrp2","Atheros AR928X Wireless Network Adapter (PCI-Express)","-"
"node1-10","grid","Node","Compute Only","Intel(R) Core(TM) i7 CPU K 875 @ 2.93GHz","7.8 GB","55GB SSD","none","none","-","-","-"
"node1-11","grid","Node","Compute Only","Intel(R) Core(TM) i7 CPU K 875 @ 2.93GHz","3.8 GB","55GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express)","-"
"node1-12","grid","Node","Compute Only (Gen2)","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","7.6 GB","55GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express)","-"
"node1-14","grid","Node","Compute Only","Intel(R) Core(TM) i5-4440 CPU @ 3.10GHz","7.6 GB","111GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express), Corporation Wireless 7260","-"
